service_id,date,exception_type
20150830_M-W-F--_10,20151002,1
20150830_M-W-F--_10,20151005,1
20150830_M-W-F--_10,20151007,1
20150830_M-W-F--_10,20151009,1
20150830_M-W-F--_10,20151012,1
20150830_M-W-F--_10,20151014,1
20150830_M-W-F--_10,20151016,1
20150830_M-W-F--_10,20151019,1
20150830_M-W-F--_10,20151021,1
20150830_M-W-F--_10,20151023,1
20150830_M-W-F--_10,20151026,1
20150830_M-W-F--_10,20151028,1
20150830_M-W-F--_10,20151030,1
20150830_M-W-F--_10,20151102,1
20150830_M-W-F--_10,20151104,1
20150830_M-W-F--_10,20151106,1
20150830_M-W-F--_10,20151109,1
20150830_M-W-F--_10,20151111,1
20150830_M-W-F--_10,20151113,1
20150830_M-W-F--_10,20151116,1
20150830_M-W-F--_10,20151118,1
20150830_M-W-F--_10,20151120,1
20150830_M-W-F--_10,20151123,1
20150830_M-W-F--_10,20151125,1
20150830_M-W-F--_10,20151127,1
20150830_M-W-F--_10,20151130,1
20150830_M-W-F--_10,20151202,1
20150830_M-W-F--_10,20151204,1
20150830_M-W-F--_10,20151207,1
20150830_M-W-F--_10,20151209,1
20150830_M-W-F--_10,20151211,1
20150830_M-W-F--_10,20151214,1
20150830_M-W-F--_10,20151216,1
20150830_M-W-F--_10,20151218,1
20150830_M-W-F--_10,20151221,1
20150830_M-W-F--_10,20151223,1
20150830_M-W-F--_10,20151225,2
20150830_M-W-F--_10,20151228,1
20150830_M-W-F--_10,20151230,1
20150830_M-W-F--_10,20160101,2
20150830_M-W-F--_10,20160104,1
20150830_M-W-F--_10,20160106,1
20150830_M-W-F--_10,20160108,1
20150830_M-W-F--_10,20160111,1
20150830_M-W-F--_10,20160113,1
20150830_M-W-F--_10,20160115,1
20150830_M-W-F--_10,20160118,1
20150830_M-W-F--_10,20160120,1
20150830_M-W-F--_10,20160122,1
20150830_M-W-F--_10,20160125,1
20150830_M-W-F--_10,20160127,1
20150830_M-W-F--_10,20160129,1
20150830_M-W-F--_10,20160201,1
20150830_M-W-F--_10,20160203,1
20150830_M-W-F--_10,20160205,1
20150830_M-W-F--_10,20160208,1
20150830_M-W-F--_10,20160210,1
20150830_M-W-F--_10,20160212,1
20150830_M-W-F--_10,20160215,1
20150830_M-W-F--_10,20160217,1
20150830_M-W-F--_10,20160219,1
20150830_M-W-F--_10,20160222,1
20150830_M-W-F--_10,20160224,1
20150830_M-W-F--_10,20160226,1
20150830_M-W-F--_10,20160229,1
20150830_M-W-F--_10,20160302,1
20150830_M-W-F--_10,20160304,1
20150830_M-W-F--_10,20160307,1
20150830_M-W-F--_10,20160309,1
20150830_M-W-F--_10,20160311,1
20150830_M-W-F--_10,20160314,1
20150830_M-W-F--_10,20160316,1
20150830_M-W-F--_10,20160318,1
20150830_M-W-F--_10,20160321,1
20150830_M-W-F--_10,20160323,1
20150830_M-W-F--_10,20160325,2
20150830_M-W-F--_10,20160328,2
20150830_M-W-F--_10,20160330,1
20150830_M-W-F--_10,20160401,1
20150830_M-W-F--_10,20160404,1
20150830_M-W-F--_10,20160406,1
20150830_M-W-F--_10,20160408,1
20150830_M-W-F--_10,20160411,1
20150830_M-W-F--_10,20160413,1
20150830_M-W-F--_10,20160415,1
20150830_M-W-F--_10,20160418,1
20150830_M-W-F--_10,20160420,1
20150830_M-W-F--_10,20160422,1
20150830_M-W-F--_10,20160425,1
20150830_M-W-F--_10,20160427,1
20150830_M-W-F--_10,20160429,1
20150830_M-W-F--_10,20160502,1
20150830_M-W-F--_10,20160504,1
20150830_M-W-F--_10,20160506,1
20150830_M-W-F--_10,20160509,1
20150830_M-W-F--_10,20160511,1
20150830_M-W-F--_10,20160513,1
20150830_M-W-F--_10,20160516,2
20150830_M-W-F--_10,20160518,1
20150830_M-W-F--_10,20160520,1
20150830_M-W-F--_10,20160523,1
20150830_M-W-F--_10,20160525,1
20150830_M-W-F--_10,20160527,1
20150830_MTWTF--_39,20150831,1
20150830_MTWTF--_39,20150901,1
20150830_MTWTF--_39,20150902,1
20150830_MTWTF--_39,20150903,1
20150830_MTWTF--_39,20150904,1
20150830_MTWTF--_39,20150907,1
20150830_MTWTF--_39,20150908,1
20150830_MTWTF--_39,20150909,1
20150830_MTWTF--_39,20150910,1
20150830_MTWTF--_39,20150911,1
20150830_MTWTF--_39,20150914,1
20150830_MTWTF--_39,20150915,1
