stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
14001585,HJALLAH,Hjallahraun,64.078219000000004,-21.947617000000001,0
14001586,SUÐURB2,Suðurbraut / Þúfubarð,64.058718999999996,-21.971502000000001,0
14001587,HRINGB7,Suðurbæjarlaug,64.060402999999994,-21.962432,0
14001588,HLÍÐARB,Hlíðarberg / 10-11,64.066405000000003,-21.935842000000001,0
14001589,HLÍÐAR3,Hlíðarberg / Birkihlíð,64.062641999999997,-21.934570000000001,0
14001590,HLÍÐAR4,Hlíðarberg / Engjahlíð,64.060323999999994,-21.932901000000001,0
14001591,HLÍÐAR5,Hlíðarberg / Sóleyjarhlíð,64.058767000000003,-21.927344000000002,0
14001592,HLÍÐAR6,Hlíðarberg / Móberg,64.060179000000005,-21.923680000000001,0
14001593,HLÍÐAB3,Hlíðarberg / Lindarberg,64.062246999999999,-21.925333999999999,0
14001594,HLÍÐAB2,Hlíðarberg / Klettaberg,64.064481000000001,-21.927641000000001,0
14001595,HLÍÐAB1,Setbergsskóli,64.066092999999995,-21.933593999999999,0
14001596,HLÍÐABE,Hlíðarberg / Hamraberg,64.067181000000005,-21.936015999999999,0
14001597,LÆKJAR1,Lækjargata,64.067344000000006,-21.947980000000001,0
14001600,STRANDG,Strandgata / Fjörukráin,64.065194000000005,-21.956772999999998,0
14001601,STRAND1,Strandgata / Flensborgartorg,64.062178000000003,-21.96172,0
14001602,KIRKJUV,Kirkjuvellir,64.050652999999997,-21.982216999999999,0
14001603,DREKAV2,Daggarvellir,64.048204999999996,-21.980834999999999,0
14001604,DREKAVE,Hraunvallaskóli,64.045599999999993,-21.979188000000001,0
14001605,HAUKAH1,Haukahús,64.053245000000004,-21.971125000000001,0
14001606,ÁSBRAUT,Ástjörn,64.054096000000001,-21.965866999999999,0
14001607,ÁSBRAU1,Ásbraut / Álftaás,64.056630999999996,-21.957028000000001,0
14001608,VÖRÐUTO,Vörðutorg,64.055724999999995,-21.945865000000001,0
14001609,ÁSBRAU5,Ásbraut / Álftaás,64.056764999999999,-21.956983999999999,0
14001610,ÁSBRAU3,Ástjörn,64.054939000000005,-21.965700999999999,0
14001611,ÁSBRAU4,Suðurhvammur,64.057241000000005,-21.965128,0
14001612,HAUKAHÚ,Haukahús,64.053334000000007,-21.971691,0
14001613,DREKAV1,Hraunvallaskóli,64.045546000000002,-21.979054999999999,0
14001614,DREKAV3,Daggarvellir,64.048361,-21.980808,0
14001615,KIRKJU1,Kirkjuvellir,64.050623000000002,-21.981940999999999,0
14001616,ÁSVALL1,Ásvallalaug,64.052789,-21.975244,0
14001617,KIRKJUT,Kirkjutorg,64.051702,-21.980002,0
14001618,KIRKJU7,Kirkjutorg,64.051711,-21.979893,0
14001619,ÁSVALLA,Ásvallalaug,64.05275,-21.974952,0
14001620,ÁSBRAU2,Kelduhvammur,64.057287000000002,-21.965357000000001,0
14001623,FJARÐAR,Fjarðarkaup,64.081496000000001,-21.939793999999999,0
14001624,SKÚTAH1,Skútahraun / Slökkvistöð,64.081646000000006,-21.936966999999999,0
14001626,LÆKJAR3,Grænakinn,64.066051000000002,-21.944889,0
14001627,ÁLFASK3,Álfaskeið,64.071382,-21.941172000000002,0
14001629,MIKLAH1,Miklaholt,64.059600000000003,-21.986930999999998,0
14001630,HÁHOLT7,Háholt / Hörgsholt,64.057631000000001,-21.985164999999999,0
14001631,HÁHOLT6,Háholt / Bæjarholt,64.056916000000001,-21.982859000000001,0
14001632,HÁHOLT5,Háholt / Akurholt,64.055567999999994,-21.979975,0
14001634,LÆKJAR4,Grænakinn,64.066074999999998,-21.944603999999998,0
14001635,HERJÓL2,Hrafnista,64.079054999999997,-21.971916,0
14001636,HERJÓL1,Herjólfsgata / Útsýnispallur,64.075018999999998,-21.973148999999999,0
14001637,HERJÓLF,Herjólfsgata / Útsýnispallur,64.075104999999994,-21.972971000000001,0
14001638,HVANNA4,Hnoðravellir,64.043227999999999,-21.96752,0
14001639,HVANNA3,Glitvellir,64.042418999999995,-21.975853999999998,0
14001640,DREKAV5,Hvannavellir,64.043017000000006,-21.977810000000002,0
14001641,FLATAH5,Flatahraun / Álfaskeið,64.075742000000005,-21.941716,0
14001642,BÆJAR10,Bæjarhraun / Flatahraun,64.077219999999997,-21.939841000000001,0
14001643,BÆJARH9,Bæjarhraun,64.079598000000004,-21.940570000000001,0
14001644,BÆJARHR,Bæjarhraun,64.079588000000001,-21.940795000000001,0
14001645,BÆJARH8,Bæjarhraun / Flatahraun,64.077162999999999,-21.940054,0
14001646,FLATAH4,Flatahraun / Álfaskeið,64.075714000000005,-21.943929000000001,0
14001647,DREKAV4,Hvannavellir,64.043002999999999,-21.977965999999999,0
14001648,HVANNAV,Glitvellir,64.042339999999996,-21.97579,0
